"document_id","processed_text"
376,"reentrant hybrid flowshop schedul problem batch process machin rhfspbpms character reentrant rout batch process wide observ industri set electron manufactur complex increas dynam disrupt ie new job arriv multiobject demand achiev fast highqual schedul dynam environ multiobject deep reinforc drl receiv grow attent howev drl tailor rhfspbpm remain scarc exist drls often reli handcraft featur fail leverag domain knowledg thus limit effect supplement gap graphbas knowledgeintegr deep reinforc gkidrl method propos rhfspbpm first disjunct graph reentri arc markov decis process construct repres reentranc batch oper basi dualag framework develop decoupl object select schedul execut weight batch polici design handl batch decis effect furthermor knowledgeintegr messagepass mechan embed graph neural network enabl heuristicawar decisionmak effect propos method core improv valid base numer dynam rhfspbpm instanc ablat studi comparison composit dispatch rule exist drl approach copyright © asm"
377,"electr vehicl ev offer substanti flexibl grid servic yet largescal uncoordin charg can threaten voltag stabil distribut network exist reinforc rl approach smart charg often disregard physic grid constraint degrad perform complex largescal task limit scalabl realworld applic paper introduc physicsinform pi rl algorithm integr differenti model voltagebas reward design twin delay deep determinist polici gradient td algorithm enabl rl better scale larg number ev deliv realtim voltag support meet ev user demand result pitd algorithm achiev faster converg improv sampl effici reliabl voltag magnitud regul uncertain overload condit benchmark ieee bus bus network show propos pitd outperform modelfre rl optimizationbas baselin grid constraint manag user satisfact econom metric even system scale hundr ev advanc enabl robust scalabl practic ev charg strategi enhanc grid resili support oper distribut network © author"
378,"deeplearningbas optim opf model demonstr high effici accuraci realtim system oper howev deploy introduc cybersecur risk malici perturb load input may induc dispatch deviat can elev oper cost degrad oper secur practic blackbox set adversari typic inputoutput queri access modelintern inform make queryeffici blackbox attack analysi oper relev exist adversari attack studi system primarili focus classif task avail blackbox method suffer excess queri complex leav regressionbas model realist blackbox constraint larg unexplor address gap paper propos informationgainguid blackbox adversari attack framework deep neural network dnn base opf strict queri budget activ principl use design informationgainbas perturb strategi synthes inform sampl strategi enrich surrog data effect enhanc surrog model train experi standard ieee test system demonstr surrog close approxim target limit queri generat adversari sampl remain transfer impact high stealthi © elsevi bv"
379,"paper present coordin approach provid grid flexibl cooper transmiss system oper tso distribut system oper dso context day ahead da electr market consid constraint distribut network dso submit aggreg –cost function use nonit approach substanti reduc comput burden upstream market clear preserv essenti econom characterist distribut system function cost generat connect distribut network obtain consid uncertainti renew resourc use robust budget approach function fact provid tso market oper rang activ along relat cost energi market clear amount exchang tsodso connect point notifi dso sinc powercost function announc dso carri take account constraint dso network market clear result alway feasibl market longer encount problem infeas framework propos coordin market dso need forecast upstream market price simplic propos market implement increas speed market clear high adapt exist market result simul nordic bus test network demonstr effect propos method well © elsevi bv"
380,"articl introduc novel simul model base catboost algorithm make high interpret predict grid stabil studi aim address shortcom current method scalabl inexplic comput ineffici inhibit applic practic develop model use latest analyz highdimension data suggest practic insight base assess featur signific interact test visual techniqu suit d scatter surfac plot give work new dimens sinc allow intuit knowledg grid stabil dynam demonstr accuraci aucroc indic model strong defin stabl unstabl state influenti predictor featurebas tau tau tau made use suggest grid copyright © publish elsevi bv"
381,"recent move target defens mtd emerg import approach defend system fals data inject attack fdia activ perturb branch equip distribut flexibl ac transmiss system dfact devic mtd alter branch suscept therebi mitig impact fdia howev owe topolog constraint practic limit incomplet mtd may retain defenseweak subspac remain vulner perceiv attack exist method yet achiev coordin defens strategi stealthi constraint within unifi paramet space therebi limit defens perform address issu paper propos multiag constraintmanifoldguid mtd method defend smart grid fdia perturb devic placement method base loop elimin develop analyz influenc loop structur mtd defens benefit graphtheoret perspect propos method optim select branch perturb prescrib constraint number devic result dfact devic placement defenseweak subspac metric model base grassmann manifold distanc establish model decompos defenseweak subspac inher defens blindspot subspac tunabl defenseweak subspac tunabl compon continu character geometr differ measur subspac attackdefens process perspect subspac distanc therebi provid quantit basi defens preserv defens stealthi stealthi constraint mechan base attacker’ residu gradient introduc perturb paramet constrain direct tangent space paramet manifold orthogon residu gradient therebi reduc observ attack furthermor multiag particl swarm algorithm mtd develop balanc defens benefit implement cost subject stealthi constraint globalloc collabor search algorithm optim dfact reactanc perturb paramet mitig impact defenseweak subspac simul result verifi effect propos method © elsevi inc right reserv includ text data mine ai train similar technolog"
382,"microgrid essenti compon develop smart grid can improv reliabl cost penetr level distribut network howev protect system advers affect use bidirect variabl connect microgrid rise penetr level distribut energi system therefor wellplan protect strategi requir reduc complex microgrid paper offer recent literatur review continu oper hybrid acdc microgrid generat system main object work focus improv microgrid protect safeti databas work scratch howev also includ current status research main obstacl smooth oper microgrid system various oper condit addit work main examin intellig devic method chang current protect scheme © author"
383,"volatil distribut generat flexibl regul soft open point sop render map relationship distribut network topolog measur data high nonlinear timevari make featur extract challeng tradit topolog identif method address issu insuffici realtim perform tradit physicsbas method weak nois immun pure datadriven method paper propos twostag topolog identif method sopintegr activ distribut network base dataphys hybriddriven approach first steadyst model sop establish electr isol characterist leverag implement network partit decoupl transform systemwid identif independ lowdimension subarea identif therebi reduc scale topolog solut space second key featur select strategi base shapley addit explan shap valu propos transformerbas deep predict model capabl captur longrang depend construct rapid output predict result confid level topk spars candid screen mechan design signific compress search space final physic consist verif mechan base ac equat construct introduc strong physic constraint calcul key node voltag residu employ thresholdbas correct rule finetun predict result case studi ieee node node system demonstr propos method achiev identif accuraci test system verifi effect adapt differ network scale © elsevi ltd"
384,"constrain problem common largescal distribut comput communic system central method often suffer scalabl limit communic bottleneck make effici distribut algorithm essenti exist distribut method struggl complex nonconvex constraint share variabl motiv studi distribut algorithm nonconvex constrain system propos method name distribut altern direct method multipli admm multipli coordin damc framework address dual reformul origin problem via dual consensus consensus multipli updat local recent primal variabl constraint multipli updat use latest global variabl coordin align multipli updat relev inform reduc communic overhead improv stabil establish converg firstord optim suffici condit satisfi karushkuhntuck kkt condit experi distribut network util maxim problem demonstr damc achiev lower relat error better constraint feasibl baselin method retain strong perform asynchron updat © copyright held ownerauthor"
385,"heterogen threedimension d wireless sensor network wsn deploy requir balanc sens coverag communic connect deploy cost coupl kcoverag cconnect constraint set yield constrain mix discret landscap mani convent multiobject method lose divers handl feasibl inconsist formul heterogen d wsn deploy constrain multiobject problem propos enhanc multiobject genghi khan shark optim enmogkso core novelti integr leaderpursuit dynam dual archiveguid select elit neighborhood memori ii bound extern archiv divers control iii feasibilityfirst environment select fragment feasibl region congress evolutionari comput cec suit enmogkso obtain best friedman mean rank hypervolum hv invert generat distanc igd statist signific differ competitor wilcoxonfriedman heterogen d wsn deploy enmogkso yield higher coverageconnect valu typic coverag mean around – connect around weaker baselin often coverag – connect – higher stabl deploy cost overal result indic stronger convergencedivers balanc reliabl feasibilityawar search tight constraint practic applic d monitor task industri facil smart build environment sens © author"
386,"switch amplifi essenti actuat activ magnet bear system yet tradit control method multiphas applic often suffer slow dynam respons limit current track accuraci address limit paper propos optim digit onecycl control algorithm tailor amb switch amplifi method incorpor coil resist voltagedrop compens occ framework reconstruct mathemat model fullbridg topolog unifi dutycycl solut posit negat current cycl improv model signific enhanc track precis dynam behavior simul result demonstr zero steadyst current error substanti reduc current distort strong sinusoid track capabl fundament output current retain khz khz maintain effect control bandwidth hz experiment valid confirm accur static characterist faster transient respons improv consist theoret measur result propos method provid effici robust current control solut highperform amb switch amplifi © author exclus licenc korean institut electr engin"
387,"peertop coordin heterogen electr interfac flexibl resourc must balanc aggregateservic deliveri resourc prefer proport util local oper limit without reli perstep central alloc paper present dsceo swarminspir gatewayinject control combin dynam aggreg target estim graphloc object gradient capacitynorm share local clfhocbfconstrain control step agent use one fixeddimens local decis exchang ninescalar payload neighbor six applicationinspir virtualpowerpl configur compar protocol percas retun deliber generous twentysubstep projectedgradi set give dsceo lower integr dimensionless object five case higher valu one one five reduct lie insid declar equival band pair mont carlo test compon ablat separ n retun grid identifi sizeconsist track share term main contributor expos windramp regim advantag claim independ conic implement reproduc applicationregim object improv highstress result capac violat observ record sampl instant within test hardfeas envelop stabil analysi explicit limit reduc continuoustim surrog sampleddata detail multienergi plantmodel guarante claim © author"
388,"high penetr distribut generat dgs distribut network shift new system multidirect complex network architectur pose big challeng tradit fault locat method especi deal multipoint fault inform distort paper propos subdomain multistrategi adapt fusion smaf algorithm base weight mean vector info appli fault locat new distribut network smaf algorithm first solut space divid sever nonoverlap subdomain chaotic map introduc enhanc initi popul divers second iter subdomain adopt multistrategi adapt fusion mechan base weight averag individu updat enhanc explor capabl algorithm final guid payoff comparison mechan subdomain integr achiev subdomainglob parallel updat therebi improv global perform converg speed paper construct hierarch differenti fault locat model base smaf reconstruct switch function dgs switch condit ftu inform distort valid perform use ieee node distribut network simul model dgs switch condit result show vari distort level propos model can reliabl locat singlepoint multipoint fault averag locat accuraci exceed demonstr propos model exhibit superior fault locat accuraci fault toler provid effici reliabl solut fault locat problem distribut network high penetr dgs © publish elsevi ltd open access articl cc byncnd licens httpcreativecommonsorglicensesbyncnd"
389,"mitig acut wildfir ignit risk util deenerg line highrisk area optim shutoff op problem optim line energ status manag wildfir ignit risk deenerg reduc load shed op problem comput challeng mixedinteg linear program milp must solv rapid frequent oper set particular system op instanc share common structur vari paramet relat wildfir risk load renew generat motiv use ml solv op problem exploit share pattern across instanc paper develop mlguid framework quick produc highqual deenerg decis extend exist mlguid milp solut method integr domain knowledg number energ deenerg line result largescal realist californiabas synthet test system show propos mlguid method produc highqual solut faster tradit method ©"
390,"ensur predict reliabl autom smart grid vital stabl effici electr distribut studi introduc starnet ensembl model webbas intellig framework design enhanc grid stabil stackingbas ensembl approach system integr learningdriven graphic user interfac gui enabl autom realtim monitor predict grid perform synthet dataset generat fournod star network extend consum node variat initi use model develop achiev preliminari predict accuraci surpass convent method extend applic beyond simul data model valid use two benchmark dataset name uci smart grid stabil dataset ieee bus test system starnet model employ catboost adaboost random forest svm knn base learner random forest metamodel evalu stratifi fold crossvalid model achiev accuraci uci dataset ieee bus dataset crossdataset transfer accuraci result confirm model’ robust general capabl demonstr starnet ensembl model effect enhanc predict reliabl autom smart grid © author"
391,"increas integr distribut renew energi resourc activ grid creat lot voltag fluctuat difficulti caus imbal activ grid system address complic issu paper suggest novel decentr actorcrit graph neural network dacgnn model consid futur scope exist research paper base demand effici decentr reactiv coordin system instead tradit central approach dacgnn use graphbas represent increas use grid topolog structur allow agent make wellinform decis base local nearbi inform complet decentr system solv depend global state inform essenti stabil communic issu note previous studi propos decentr deep reinforc drl model base dacgnn design effect coordin reactiv modif throughout activ grid preserv voltag stabil reduc loss studi simul also conduct base guidelin exist refer paper use ieee test distribut feeder verifi system stabil various grid condit includ high renew involv dynam load therefor compar evalu show propos dacgnn model effect outperform intellig algorithm effect outcom regard voltag manag loss reduct scalabl overal result confirm effect propos approach address modern grid demand provid effect solut realtim voltag reactiv coordin activ distribut network © world scientif publish compani"
392,"highqual dataset essenti train model system howev secur privaci concern restrict access realworld data make statist accur physic consist synthet dataset viabl altern develop diffus model generat synthet dataset realworld grid replic statist properti realworld data ensur ac feasibl enforc constraint incorpor gradient guidanc base constraint steer diffus sampl toward feasibl sampl enhanc effici reduc model complex leverag insight fast decoupl method propos variabl decoupl strategi train sampl diffus model solut lead physicsinform diffus model generat dataset outperform standard diffus term feasibl statist similar shown experi across ieee benchmark system © ieee"
393,"increas role solid oxid fuel cell sofc microgrid realtim econom dispatch face signific challeng due complex transient dynam currentdriven degrad press need method can preserv sofc respons characterist ensur longterm reliabl dispatch end studi first develop surrog model captur transient respons featur remain suitabl realtim schedul degrad induc stack current variat incorpor dispatch formul explicit account lifetim impact basi tackl problem involv nonlinear dynam oper target constraint load stochast safe reinforc framework two lagrangian multipli propos one use regul grid relianc imbal enforc degrad target case studi show surrog model enabl accur dynam reproduct twomultipli strategi achiev balanc perform uncertainti result reveal clear cost–degrad tradeoff across differ degrad target consist posit correl within singl train run perform sensit degrad limit load profil compar analysi confirm neglect dynam degrad lead over optimist cost estim inabl effect track mitig degrad © elsevi ltd"
394,"process plan set system pipe associ part effici effect feasibl order satisfi particular oper object limit known optim pipe layout optim particular problem aim achiev best overal design balanc number element cost reduct oper effici space use structur integr paper two hierarch criteria minim pipe distanc reduc cost ii fluid pressur drop increas effici inde mani realworld industri applic instal oil gas water pipelin stabil requir well reduct pipe length optim two criteria innov artifici intellig method name dhouibmatrixspp dmspp design develop python program languag dmspp use four movement direct ergonom visual design pipe layout grid map environ perform dmspp prove differ oil gas case studi compar sever implement artifici intellig method develop literatur improv dynam adapt ant coloni algorithm improv ant coloni improv particl swarm ant coloni algorithm deriv simul result demonstr dmspp can rapid design optim pipe rout base shortest distanc maxim fluid pressur moreov dmspp find novel optim solut artifici intellig method generat addit instanc dmspp fastest artifici intellig techniqu signific varianc © author"
395,"solv coupl fluid–por media flow stokes–darci navier–stokes–darci system beavers–joseph interfac condit present formid challeng physicsinform neural network pinn due system bottleneck caus physic heterogen stiff constraint tradit pinn heavili reli manual trialanderror tune hyperparamet lead suboptim converg limit applic complex engin scenario overcom limit paper propos autopinn novel framework integr deep reinforc rl fulli autom solver’ configur formul train process markov decis process mdp enabl rl agent autonom orchestr endtoend cooptim loss weight sampl strategi network architectur realtim furthermor introduc “deep domain decomposition” strategi design progress architectur evolv monolith singlenetwork fulli decoupl dualnetwork dualoptim system design explicit tackl stiff ratio freeflow porous media region numer experi demonstr autopinn achiev improv comput effici compar standard baselin maintain high accuraci notabl propos framework exhibit strong robust transfer rl agent success general linear stokes–darci problem nonlinear navier–stokes–darci system handl complex curv geometri without manual reconfigur © elsevi inc"
396,"wireless transfer wpt attract consider attent electr vehicl ev industri due inher safeti flexibl conveni wpt technolog continu evolv grow number automot manufactur expand develop effort make interoper differ product essenti technic requir interoper ev wireless charg technolog main reflect compat charg termin suppli review analyz ev wpt interoper three perspect coupl structur load imped batteri voltag class bvc output class opc three main coupl approaches—stack combin multipolar deriv control strategy— compar futur trend point hybrid solut load imped evalu face challeng crosstest boundari definit environment variabl call standard benchmark equip bvc evolut v v demand reconfigur topolog though system complex cost remain concern futur research direct includ hybrid coupl design intellig control widevoltag topolog multifrequ interoper practic recommend emphas standard test modular product crossindustri collabor © elsevi ltd"
397,"electr vehicl ev nowaday rapid expand introduc flexibl resourc meanwhil instabl system address instabl issu proper configur photovolta pvbatteri energi storag system bessev system vehicl grid vg mode propos recent year howev accur capac alloc pvbessev system requir comprehens oper condit includ vg scenario intern flow devic state general lead comput ineffici due higherord nonlinear model paper enhanc accuraci effici capac alloc modelbas reinforc agent propos econom benefit emerg servic vg mode improv signific first pvbessev system model vg scenario establish reveal intern flow devic state second bayesian neural network bnn dynam model develop rapid predict oper result third depend predict alloc agent via deep determinist polici gradient ddpg algorithm design effici search optim capac configur propos method evalu use uk case studi across five repres citi result show hourlevel oper can simul propos model oper result can accur predict propos bnn model mean absolut percentag error optim configur obtain relat root mean squar error alloc time reduc approxim propos agent suggest configur can reduc annual electr cost enhanc outag suppli capabl replac bess vg configur sinc reduc averag state charg effect mitig batteri calendar age addit ev batteri degrad limit ©"
398,"grid oper requir solv optim problem effici continu perturb exist graph neural network benchmark system overlook safeti constraint realist failur scenario limit oper relev present safepowergraph first simulatoragnost safetyori framework benchmark graph grid oper framework integr four wide use simul pandapow matpow powermodelsjl opendss evalu model three perturb scenario indistribut load variat energi price fluctuat n line outag safepowergraph introduc heterogen graph represent physicsinform loss function enforc altern current equat oper boundari constraint experi across five benchmark network rang buse demonstr graph attent network consist achiev lowest supervis error constraint violat rate physicsinform reduc equat residu one order magnitud line outag scenario energi price variat constitut challeng perturb type caus slack bus reactiv error increas five order magnitud relat indistribut set opensourc code dataset pretrain model public avail standard safetycrit graph neural network research system httpsgithubcomlistenergyintelligencesafepowergraphpowergrid © publish elsevi ltd open access articl cc byncnd licens httpcreativecommonsorglicensesbyncnd"
399,"popular electr vehicl ev pose particular challeng demandsid energi manag especi lowcomput scenario research build lightweight ml model forecast ev consumpt load maximis demand respons dr strategi use realworld data kaggl dataset use research consist timeseri ev charg data preprocess sampl augment timebas featur includ hour weekday month seven dr strategi peak clip valley fill load shift load level strateg load growth strateg conserv flexibl load shape implement estim load profil model experi consist five ml model linear regress lr support vector regress svr knearest neighbour knn random forest rf extrem gradient boost xgboost result predict comput model select sinc suitabl system lack resourc serv dr case measur metric use mae rmse r find suggest xgboost errorfre techniqu across dr approach achiev r score strateg conserv valley fill highest effici second random forest r score result linear regress knn wors r² valu never exceed across dr strategi work demonstr capac deliv success perform lightweight ml model ev load predict dr model model can provid scalabl inform grid oper policymak oper within constrain comput environ © author"
400,"high renew penetr make grid oper risk strong depend weatherdriven generat uncertainti propag network constraint convent sequenti workflow forecast follow risk assess may interrupt scenario inform amplifi forecast error downstream secur evalu address issu paper propos integr assess method renew generat grid risk base dualstream coupl neural network meteorolog grid geograph featur grid oper state tempor inform first fuse unifi scene encod condit normalizingflow stream develop model condit probabl distribut renew generat physicsinform graph neural network stream estim line overload voltag violat n secur risk crossattent introduc enabl uncertaintyrel forecast featur particip risk infer case studi modifi ieee bus system show propos method achiev forecast mae rmse r valu mw mw risk assess mae rmse r valu respect compar transformergat transformermlp baselin obtain lowest mae risk mae ablat result confirm contribut condit normal graph neural network crossattent uncertainti model topolog infer crosstask interact attent analysi integr gradient shap featur mask support identif highrisk driver © elsevi bv"
401,"integr renew energi sourc ress energi system pose consider oper challeng due intermitt stochast natur gridconnect energi storag system esss present compel altern reliabl accommod various ress paper present optim schedul alloc windstorag system capac high mountain region abund wind resourc irrig pump demand captur uncertainti wind solar generat scenariofre stochast formul adopt enabl tractabl scalabl uncertainti model reduc overal lifecycl comprehens cost coc synergist model develop integr featur wind energi pump unit paramet storag configur model consid startupshutdown loss optim distribut oper expens pump station optim energi storag capac singlebatteri system compar hybrid batteryhydrogen storag strategi result show hybrid solut reduc coc allevi batteri oper stress maintain pump station effici framework incorpor reliabl model wind generat ensur robust lifecycl cost approach demonstr financi technolog benefit hybrid storag renew energydriven irrig system simul case studi valid flexibl effect propos approach across various practic set © author"
402,"microgrid core carrier effici util distribut energi brainlik autonom regul technolog gradual appli field microgrid oper manag control howev relev research show problem exist regul model general higher s respons delay autonom decisionmak insuffici bionic accuraci brainlik regul unsatisfactori cooper agent result difficult adapt complex work condit access distribut generat high penetr deal problem studi integr prior knowledg embed multiag reinforc pke marl brainlik hierarch regulatori architectur base long shortterm memori convolut neural network lstmcnn coevolut microgrid brainlik autonom regul technolog system construct innov lie design dynam calibr coevolut coupl strategi introduct random interfer adapt factor construct twoway feedback mechan pke agent decisionmak brainlik hierarch adapt mechan technolog can realiz cooper schedul fault autonom respons microgrid sourc load storag effect improv accuraci effici regul control solv pain point exist technolog simul experi digit twin simul data set distribut network use test find indic comprehens perform score reach point higher exist optim combin technolog notabl regul accuraci averag robust coeffici reach besid practic adapt along stabl confid interv furthermor core modul redund clear contribut studi provid complet theoret technic support microgrid selfregul promot effici util distribut energi improv stabil system oper strong engin applic valu © author"
403,"rapid accur fault local impact quantif critic prevent cascad failur modern grid tradit timedomain simul suffer high comput latenc pure datadriven deep model lack physic interpret prone oversmooth paper propos novel physicsinform dualstag graph neural network gnn framework realtim grid anomali analysi first stage degreebias multihead graph attent network gat develop pinpoint fault sourc effect disentangl complex featur multipl concurr fault second stage cascad failur propag model cfpm explicit embed gnn’s messagepass mechan physic regular term physic prior forc network quantifi impact scope along actual trajectori rather mere topolog hop count extens experi hybrid dataset—compris simul sampl ieee bus system realworld scadapmu records—demonstr framework’ superior propos method achiev fault local accuraci outperform tradit tempor model furthermor physicsinform regular reduc impact predict root mean squar error rmse delin impact boundari intersect union iou endtoend infer time mere millisecond provinciallevel grid topolog propos framework provid high interpret ultralowlat solut onlin grid dispatch proactiv defens © author"
404,"largescal electr vehicl ev integr bring new solut enhanc resili coupl transport network cptns howev inher complex cooptim distribut transport network pose signific challeng interdepend resili dispatch remain unclear address problem work develop resili pricingdriven bilevel coordin approach joint optim distribut network pdn restor transport network tn priceawar dynam traffic energi assign dtea upper level pdn oper determin coordin restor resili vg price decis lower level novel priceawar dtea model introduc simultan optim ev traffic energi flow fulli exploit spatiotempor vg flexibl datadriven constraint learningbas method propos reformul nonlinear dtea tractabl accur mixedinteg program mip unlik blackbox surrog propos method learn nonlinear constraint via neural network nns explicit emb learn nn structur model valuefunctionbas algorithm supplement tailor linear techniqu develop solv result bilevel mip comprehens case studi demonstr propos approach improv cptn resili pricingdriven coordin achiev superior restor perform leverag vg flexibl attain favor scalabl comput effici © elsevi ltd"
405,"electr grid absorb higher share variabl renew gridinteract hybrid asset must deliv qualiti support cost effici strict physic constraint studi develop forecasting–reinforc energi manag system gridconnect photovoltaic–fuel cell–batteri microgrid gate recurr unit provid shorthorizon pv forecast deep determinist polici gradient control output continu setpoint batteri fuel cell grid exchang feasibl enforc closedform project satur action satisfi batteri stateofcharg soc bound gridexchang limit adapt fuzzi reward shape modifi immedi reward use critic target repres day fuzzyshap polici reduc net oper cost gridexchang varianc kw² pv util hydrogen usag decreas kg multiday evalu mean grid varianc decreas ± – ± kw² mean net oper cost decreas ± – ± d pv util remain ± across day soc violat ± log mean absolut noslack acbus residu numer neglig extremescenario stress test worst deficitsurplus grid outag lowsoc start preserv feasibl zero socgrid violat zero unserv energi wherea surplusdomin case handl via quantifi reject energi forecastperturb test increas multihorizon forecast rootmeansquar error ± – ± kw chang mean net oper cost ± ± maintain soc violat kwh unserv energi © elsevi inc"
406,"grow deploy electr vehicl batteri swap station distribut generat dynam switch communicationbas control togeth renew generat variabl uncertain demand network reconfigur requir fals data inject attack communic delay make oper modern distribut network complex cyberphys challeng paper propos realtim oper plan framework integr multiobject method long shortterm memori neural network hourahead decisionmak framework joint consid batteri swap station oper uncertainti model fuzzi mont carlo simul cyberphys disturb dynam network reconfigur shortcircuit level loadabl constraint expect energi suppli environment penalti dynam secur assess base virtual synchron generat model oper scenario generat offlin stage use train neural network onlin oper train model predict nearoptim generat dispatch exchang batteri swap station dynam switch state without repeat solv problem simul result obtain modifi bus test system expand buse distributionlevel oper studi incorpor microgrid renew energi resourc batteri swap station energi storag system dynam switch show reduct oper cost expect energi suppli togeth improv voltag secur reliabl resili loadabl shortcircuit level control compar exist method © publish elsevi ltd"
407,"behindthemet photovolta batteri system exhibit heterogen daili oper behavior shape weather condit household demand storag control grid interact identifi oper regim essenti improv forecast system control polici design particular label oper data unavail studi propos unsupervis framework identifi recur daili oper regim residenti photovolta batteri system quantifi regimespecif weather sensit fourteen month highresolut oper data residenti photovolta batteri system yangon myanmar analyz daili featur captur photovolta generat electr consumpt grid exchang batteri charg discharg state charg selfconsumpt deriv intraday profil isol forest outlier detect remov anomal oper day yield repres day analysi kmean cluster identifi four oper regim silhouett valid use gaussian mixtur model hierarch cluster densitybas method princip compon analysi confirm consist interpret oper structur interpret identifi regim clusterwis standard regress model link daili photovolta energi product meteorolog driver solar irradi domin explanatori variabl across regim effect size increas griddepend high pv selfsuffici mode temperatur relat humid exhibit regimedepend secondari effect wind speed play limit role season analysi reveal systemat shift regim preval driven climat condit propos framework provid interpret approach applic tropic monsoon pvbatteri system diagnos realworld photovolta batteri system behavior yield action regim label support regimeawar forecast adapt energi manag distribut energi system © author"
408,"urban plan can defin systemat plan develop control urban area aim maxim function sustain general qualiti life citi nevertheless face chronic problem traffic jam poor manag resourc environment pollut insuffici outdat infrastructur problem often intensifi acceler urban inadequ enforc polici dynam socioeconom chang disori fine balanc develop environment custodianship paper attempt thorough explor caus symptom dynam urban predica time examin root caus key stakehold affect system well rippl effect urban ecosystem literatur review conduct detail cover exist detect mitig method base interdisciplinari understand intellig transport system sustain urban design develop technolog artifici intellig fuzzi logic geograph inform system gis compar analysi undertaken order compar methodolog paramet like costeffect scalabl environment sustain adapt develop simul statist analysi facilit power contextsensit assess framework specif varieti urban situat © author"
409,"research focus manag within renew flexibl integr energi system intellig distribut system consid factor harmon compens voltag stabil environment indic propos system base determinist model aim optim four distinct object object function collect minim network’ oper cost emiss total voltag harmon symmetr valu voltag stabil index key constraint involv oper flexibl model renew integr energi system along linear ac harmon optim model voltag stabil limit studi acknowledg inher uncertainti relat output renew unit electr vehicl energi price energi load address uncertainti adapt robust employ ensur resili solut result indic despit uncertainti oper sdns remain robust even predict error margin moreov propos system reduc voltag drop emiss oper cost energi loss harmon index uncertainti condit voltag stabil increas © author"
410,"internet thing iot point billion connect devic share data internet howev increas volum data generat iot devic make remot cloud data center ineffici delaysensit applic regard fog comput bring comput closer data sourc play signific role address issu howev resourc constraint fog comput demand effect taskschedul techniqu handl enorm volum data mani research propos varieti heurist metaheurist approach effect schedul howev still scope improv paper propos emapso energi makespanawar pso simultan minim makespan energi present biobject problem approach also consid loadbalanc factor assign task vm fogcloud environ propos algorithm emapso compar standard pso modifi pso mpso bird swarm bso bee life algorithm bla experiment result show propos method outperform compar algorithm term resourc util makespan energi consumpt © author"
411,"coordin interact among flexibl asset multicarri integr energi system mie can lead costeffici energi transit howev prolifer flexibl asset grow particip activ demand respons increas complex coordin interact paper investig sever approach model coordin flexibl schedul mie mani autonom flexibl provid propos runtim model coupl altern model paradigm overcom limit monolith central cooptim specif introduc two model coupl approaches— distribut pricerespons decentr market auction approach— address practic challeng preserv autonomi privaci flexibl provid ensur scalabl conduct quantit benchmark approach cooptim across vari problem size complex comput infrastructur benchmark provid new empir insight tradeoff optim autonomi scalabl far remain unquantifi energi system literatur show model coupl offer method balanc optim realism autonomi privaci deliv substanti scalabl gain propos model coupl approach formal opensourc softwar sever practic applic model can experi differ flexibl model approach choos one best match model object constraint flexibl provid can coupl model simul interact system make inform oper decis without disclos confidenti inform © author"
412,"rapid transit toward lowcarbon energi system intensifi need accur carbon intens ci estim high tempor resolut ci estim intend support carbonawar energi manag along decarbon strategi convent approach base averag emiss factor often fail captur variat electr generat dynam particular increas penetr renew energi resourc rer energi mix recent advanc smart meter infrastructur behindthemet btm base distribut energi resourc der viz solar photovolta system creat various prospect improv ci estim review present allinclus assess recent advanc spatiotempor ci estim use smart meter data btm base spv disaggreg ml base analyt cybersecur framework within smart grid work critic examin preprocess techniqu energi disaggreg method carbon emiss model line robust forecast approach moreov cybersecur threat main fals data inject attack fdia discuss along privaci preserv approach viz anomali detect encrypt mechan review reveal integr ci estim cybersecur measur enhanc overal resili carbonawar smart grid applic integr also support demand respons program drps improvis oper decis make secur manner review also reveal promis ml approach among discuss one viz hybrid model combin deep ensembl model precis forecast smart grid applic also emerg artifici intellig ai driven approach also confer promis estim ci aspect furthermor review identifi exist gap highlight emerg trend emphas practic insight research policymak develop secur datadriven smart grid infrastructur sustain energi transit cleaner energi futur © author"
413,"standard artifici bee coloni abc mani fitnessdriven abc variant main reli scalar fit valu local perturb trialcounterbas scout decis may underutil explicit populationwid relat inform studi introduc transformerenhanc artifici bee coloni algorithm tabc novel abc variant integr multihead selfattent mechan onlook scout phase improv populationlevel search behavior method use attentionderiv relat score foodsourc select attentionguid scout reiniti adapt stochast perturb project matric singledimens bestguid perturb tabc evalu cec benchmark suit d frequencyconstrain truss problem threedimension ab offlattic proteinfold energi model cec d tabc achiev best mean result function yield win tie loss compet algorithm across pairwis comparison accord wilcoxon ranksum test engin bioinformat experi tabc achiev best mean perform truss problem proteinfold instanc includ highdimension case frequencyconstrain truss offlattic protein fold result indic attentionderiv relat score can improv abc search behavior test set nevertheless addit comput cost introduc attent mechan scalabl tabc substanti larger popul remain import limit sourc code avail httpsgithubcomyenesstabctransformerbasedartificialbeecolonyalgorithmgit © elsevi bv"
414,"algorithm inspir natur frequent employ address wide rang challeng realworld issu one method jaya algorithm high regard due eas use nonetheless approach sever disadvantag includ poor converg rate tendenc trap local optima sever mutat oper includ work evalu contrast efficaci valid various jaya algorithm iter result limit algorithm ieee cec benchmark function present last suggest iter use solv actual machin paramet issu everi version benchmark function converg graph ttest analysi algorithm complex also examin analysi mani variat reveal jaya r variant outperform other © elsevi bv"
